feature,importance
cat__primary_genre_['shibuya-kei'],7.94170597865095e-05
cat__primary_genre_['hard rock',7.747534055319797e-05
cat__primary_genre_['german hip hop'],7.67771872620639e-05
cat__primary_genre_['alté',7.517421147143606e-05
cat__primary_genre_['eurodance',7.47414138315444e-05
cat__primary_genre_['minimalism',7.462042948897412e-05
cat__primary_genre_['italo dance'],7.45046592426724e-05
cat__primary_genre_['soul',7.375866209560147e-05
cat__primary_genre_['chicago drill',7.356601927224315e-05
cat__primary_genre_['britpop'],7.226208796502094e-05
cat__primary_genre_['classical'],7.173888583771921e-05
cat__primary_genre_['house',6.889163185002306e-05
cat__primary_genre_['reggaeton mexa',6.836723765081117e-05
cat__primary_genre_['drum and bass',6.819191577409104e-05
cat__primary_genre_['norwegian pop'],6.738165375305226e-05
cat__primary_genre_['celtic'],6.64091489070859e-05
cat__primary_genre_['brazilian pop',6.523216998487921e-05
cat__primary_genre_['finnish rock'],6.488152893928849e-05
cat__primary_genre_['indonesian indie',6.104947732710576e-05
cat__primary_genre_['latin alternative'],5.835998186681298e-05
cat__primary_genre_['reggaeton'],5.765405781613271e-05
cat__primary_genre_['reggae'],5.75614860975506e-05
cat__primary_genre_['drumstep'],5.746718263722808e-05
cat__primary_genre_['outlaw country',5.731090810159841e-05
"cat__primary_genre_[""children's music""]",5.680017895650741e-05
cat__primary_genre_['glam rock',5.6663738824645536e-05
cat__primary_genre_['ambient folk'],5.658953437163111e-05
cat__primary_genre_['sexy drill'],5.6536785823230254e-05
cat__primary_genre_['latin pop',5.641523747021457e-05
cat__primary_genre_['trap soul',5.488114378772499e-05
cat__primary_genre_['folk rock',5.381698618118243e-05
cat__primary_genre_['melodic bass',5.1989130703779126e-05
cat__primary_genre_['gospel',5.1872747303467406e-05
cat__primary_genre_['emo'],4.99146066175076e-05
cat__primary_genre_['christian',4.8274509656444806e-05
cat__primary_genre_['malayalam hip hop',4.804557681027457e-05
cat__primary_genre_['bluegrass',4.7691138229506164e-05
cat__primary_genre_['alternative metal',4.7322495038840214e-05
cat__primary_genre_['dancehall',4.671507139973405e-05
cat__primary_genre_['crunk',4.610297954983464e-05
cat__primary_genre_['french pop',4.603877287664974e-05
cat__primary_genre_['french r&b',4.57198680149522e-05
cat__primary_genre_['c-pop'],4.492108505578627e-05
cat__primary_genre_['funk de bh',4.476019620308862e-05
cat__primary_genre_['dembow'],4.339850713789878e-05
cat__primary_genre_['anti-folk'],4.322256168386045e-05
cat__primary_genre_['cumbia norteña',4.204646173502259e-05
cat__primary_genre_['big room',4.085282229165222e-05
cat__primary_genre_['neo soul'],4.049525540384573e-05
cat__primary_genre_['arrocha'],4.037039803277892e-05
cat__primary_genre_['eurodance'],3.84982526934673e-05
cat__primary_genre_['disco'],3.8412934771910374e-05
cat__primary_genre_['quiet storm',3.8349855557444384e-05
cat__primary_genre_['deep house'],3.816561848854497e-05
cat__primary_genre_['melbourne bounce',3.7699327274181814e-05
cat__primary_genre_['stoner rock',3.740205641993994e-05
cat__primary_genre_['amapiano',3.7280200963156146e-05
cat__primary_genre_['surf rock',3.722002803270544e-05
cat__primary_genre_['future house'],3.628623526467065e-05
cat__primary_genre_['latin hip hop',3.5734668694799254e-05
cat__primary_genre_['christian hip hop'],3.56748901327174e-05
cat__primary_genre_['drone',3.47763791991791e-05
cat__primary_genre_['quiet storm'],3.2907720500232686e-05
cat__primary_genre_['christmas',3.241750399561823e-05
cat__primary_genre_['sea shanties'],3.2357158204512305e-05
cat__primary_genre_['hipdut'],3.131062827167962e-05
cat__primary_genre_['rockabilly',3.060065348889311e-05
cat__primary_genre_['agronejo'],2.8402263268573256e-05
cat__primary_genre_['texas country',2.8385949077818688e-05
cat__primary_genre_['classic soul'],2.821311420974381e-05
cat__primary_genre_['glam rock'],2.6760060574140614e-05
cat__primary_genre_['funkot',2.6424929557097657e-05
cat__primary_genre_['lounge'],2.603082887643124e-05
cat__primary_genre_['funk rock'],2.574955547388072e-05
cat__primary_genre_['jangle pop',2.5710995434710415e-05
cat__primary_genre_['melodic bass'],2.53778448403848e-05
cat__primary_genre_['christian folk'],2.5088046855996247e-05
cat__primary_genre_['metalcore',2.4970771501380237e-05
cat__primary_genre_['german pop',2.4431219135370867e-05
cat__primary_genre_['g-funk',2.362874785802455e-05
cat__primary_genre_['japanese vgm',2.329147346371069e-05
cat__primary_genre_['power pop',2.2953039070961963e-05
cat__primary_genre_['southern rock',2.2331108548113396e-05
cat__primary_genre_['avant-garde'],2.2258802526366385e-05
cat__primary_genre_['blues',2.1531535575227858e-05
cat__primary_genre_['stutter house',2.104436229884782e-05
cat__primary_genre_['trance',2.0955176595779444e-05
cat__primary_genre_['new age',1.9689993299873147e-05
cat__primary_genre_['christian rock'],1.9637162700898864e-05
cat__primary_genre_['old school hip hop'],1.9627466506797883e-05
cat__primary_genre_['gnawa'],1.9037963034554077e-05
cat__primary_genre_['ambient',1.759756818636646e-05
cat__primary_genre_['trap metal'],1.7434014923667573e-05
cat__primary_genre_['electro swing',1.7025683545988065e-05
cat__primary_genre_['post-rock'],1.672121735812697e-05
cat__primary_genre_['hard techno',1.6421952555891865e-05
cat__primary_genre_['colombian pop',1.5962470801941466e-05
cat__primary_genre_['breakcore',1.5037821520076081e-05
cat__primary_genre_['disco',1.4898482269139209e-05
cat__primary_genre_['happy hardcore',1.4859747653344764e-05
cat__primary_genre_['japanese vgm'],1.4743491160070737e-05
cat__primary_genre_['acid techno',1.4404453225766116e-05
cat__primary_genre_['mpb',1.4359501260676795e-05
cat__primary_genre_['grime'],1.4283502210501091e-05
cat__primary_genre_['rally house'],1.4222607657054207e-05
cat__primary_genre_['vietnamese hip hop',1.3891779271749077e-05
cat__primary_genre_['yacht rock'],1.369412610022849e-05
cat__primary_genre_['kayokyoku',1.3367764834171214e-05
cat__primary_genre_['cloud rap',1.291142681507674e-05
cat__primary_genre_['lo-fi hip hop',1.2661290126242676e-05
cat__primary_genre_['neoclassical',1.2339522153049453e-05
cat__primary_genre_['uk grime'],1.210903105156051e-05
cat__primary_genre_['folk metal'],1.170786797302541e-05
cat__primary_genre_['nigerian drill',1.1144227788930486e-05
cat__primary_genre_['tech house'],1.1020407315720028e-05
cat__primary_genre_['organic house'],1.0715529506331437e-05
cat__primary_genre_['pop soul',1.0401543582361707e-05
cat__primary_genre_['comedy'],9.715533006068428e-06
cat__primary_genre_['chicago drill'],9.644949982080918e-06
cat__primary_genre_['psytrance',9.594183963333018e-06
cat__primary_genre_['trip hop'],9.330915456003157e-06
cat__primary_genre_['musicals',8.97191794805512e-06
cat__primary_genre_['groove metal',8.931242606614505e-06
cat__primary_genre_['christian hip hop',8.87724327906221e-06
cat__primary_genre_['techengue',8.868900963203972e-06
cat__primary_genre_['industrial rock',8.825588400106998e-06
cat__primary_genre_['bachata',8.79548382567132e-06
cat__primary_genre_['classic soul',8.691351671393182e-06
cat__primary_genre_['native american music',8.645373271787063e-06
cat__primary_genre_['nu disco',8.545132877186178e-06
cat__primary_genre_['exotica'],8.33078994972283e-06
cat__primary_genre_['ebm',8.222092521493925e-06
cat__primary_genre_['worship',7.778233321663528e-06
cat__primary_genre_['dansk rap',7.737617779242888e-06
cat__primary_genre_['progressive metal',7.387152061637265e-06
cat__primary_genre_['indie rock',7.323635725278876e-06
cat__primary_genre_['japanese classical'],7.267912837120713e-06
cat__primary_genre_['j-pop',7.155701396931566e-06
cat__primary_genre_['future house',7.121694464669416e-06
cat__primary_genre_['indie r&b'],6.7683768505870065e-06
cat__primary_genre_['alt country',6.636036240215364e-06
cat__primary_genre_['soul jazz',6.338222756528953e-06
cat__primary_genre_['gangster rap'],6.265187461803456e-06
cat__primary_genre_['jazz rap'],5.978925956369781e-06
cat__primary_genre_['moroccan pop'],5.697235839881372e-06
cat__primary_genre_['azonto',5.68271587390386e-06
cat__primary_genre_['blues rock'],5.620942667718783e-06
cat__primary_genre_['afrobeat'],5.4181156199982375e-06
cat__primary_genre_['folk metal',5.394735767058243e-06
cat__primary_genre_['bongo flava'],4.862145825047491e-06
cat__primary_genre_['big room'],4.509836867223215e-06
cat__primary_genre_['indie soul'],4.104096163324114e-06
cat__primary_genre_['3 step',3.899427090053353e-06
cat__primary_genre_['melbourne bounce'],3.7217295348188683e-06
